scenario_id,memory_mode,retention,consistency,personalization,aggregate,latency_avg_ms,mitre_detected
lanl-failed-logins-001,no_memory,0.4625,0.4098,0.7500,0.5329,1875.0,T1110;T1190;T1021;T1082;T1078;T1003;T1071;T1057
lanl-failed-logins-001,short_term,0.5000,0.5321,0.2500,0.4346,1977.1,T1110;T1078;T1190;T1204
lanl-failed-logins-001,long_term,0.3875,0.8235,0.5000,0.5520,2047.4,T1110;T1078;T1550
lanl-failed-logins-001,hybrid,0.5000,0.7978,0.5000,0.5893,3878.0,T1110;T1078;T1003
lanl-same-source-repeated,no_memory,0.4292,0.3949,0.7500,0.5151,3307.0,T1110;T1566;T1190;T1059;T1086;T1136;T1204;T1021;T1046;T1082
lanl-same-source-repeated,short_term,0.5500,0.9528,0.7500,0.7308,6646.3,T1110;T1204;T1078;T1190
lanl-same-source-repeated,long_term,0.6208,0.8589,0.7500,0.7310,4647.8,T1110;T1190;T1078
lanl-same-source-repeated,hybrid,0.5500,0.8667,0.7500,0.7050,4802.2,T1110;T1589;T1204;T1190;T1078;T1021;T1570
lanl-suspicious-sequence,no_memory,0.5125,0.4819,1.0000,0.6496,3149.8,T1110;T1204;T1190;T1027;T1021;T1041;T1016;T1189;T1078;T1046
lanl-suspicious-sequence,short_term,0.5375,0.3232,0.5000,0.4620,6491.8,T1110;T1204;T1189;T1078;T1021;T1550;T1558
lanl-suspicious-sequence,long_term,0.0958,0.9420,0.2500,0.3959,1566.0,T1110
lanl-suspicious-sequence,hybrid,0.0000,0.9420,0.0000,0.2826,648.8,
lanl-privilege-escalation,no_memory,0.0625,0.9130,0.2500,0.3739,29537.2,T1046;T1071;T1110;T1078;T1204;T1059
lanl-privilege-escalation,short_term,0.0000,0.9130,0.0000,0.2739,766.6,
lanl-privilege-escalation,long_term,0.0000,0.9130,0.0000,0.2739,1235.2,
lanl-privilege-escalation,hybrid,0.0000,0.9420,0.0000,0.2826,607.6,
lanl-lateral-movement,no_memory,0.0000,0.9420,0.0000,0.2826,826.1,
lanl-lateral-movement,short_term,0.0000,0.9130,0.0000,0.2739,516.3,
lanl-lateral-movement,long_term,0.0000,0.9130,0.0000,0.2739,747.7,
lanl-lateral-movement,hybrid,0.0000,0.9420,0.0000,0.2826,1113.9,
lanl-after-hours,no_memory,0.0000,0.9420,0.0000,0.2826,577.7,
lanl-after-hours,short_term,0.0000,0.9420,0.0000,0.2826,530.4,
lanl-after-hours,long_term,0.0000,0.9130,0.0000,0.2739,863.6,
lanl-after-hours,hybrid,0.0000,0.9130,0.0000,0.2739,1277.4,
lanl-credential-stuffing,no_memory,0.0000,0.3259,0.0000,0.0978,640.8,
lanl-credential-stuffing,short_term,0.0000,0.9420,0.0000,0.2826,486.6,
lanl-credential-stuffing,long_term,0.0000,0.9420,0.0000,0.2826,595.6,
lanl-credential-stuffing,hybrid,0.0000,0.9420,0.0000,0.2826,500.2,
cross-session-recall-001,no_memory,0.0000,0.9130,0.0000,0.2739,473.3,
cross-session-recall-001,short_term,0.0000,0.9130,0.0000,0.2739,749.6,
cross-session-recall-001,long_term,0.0000,0.9420,0.0000,0.2826,596.0,
cross-session-recall-001,hybrid,0.0000,0.9420,0.0000,0.2826,487.7,
